Property_ID,Habitability_score
0x6e93,60.47592727070042
0x8787,76.25403330891474
0x6c17,65.08125293637315
0x9dbd,69.35845508111846
0xbfde,65.5992774637778
0x6a39,79.83423658073684
0x47a6,82.85842010710573
0x7687,70.87235591596894
0x963a,69.87579843868843
0xbcbb,80.97557005856973
0x4950,64.76149084157798
0x316a,83.77204276609316
0x6b21,62.43974121069643
0x6252,79.09419871500319
0xa67f,50.53695390611453
0x2cd8,83.37814642746109
0x5926,54.75583650747228
0x9a42,74.69728370824367
0x4b5e,76.10936217642293
0x76af,68.96759576273485
0xb44b,80.5261539965973
0x2e49,82.04378416706196
0x83fc,69.77945359819174
0x26b1,64.82287359027534
0x210b,76.4847971148492
0xb384,84.09380139718098
0x455e,73.1966566694569
0x6ae6,74.68320662842538
0x9aff,66.71232572885219
0x6916,77.97165906301893
0x145a,60.68430471691374
0xbfd0,68.47787148761896
0x1ffa,77.03318967754451
0x9412,77.5621644359887
0x9860,77.37186643308944
0x690f,76.53328709706433
0x80ec,65.64276042622166
0x7223,77.09930549082128
0xf99,69.1499859517543
0x953d,70.21850055220824
0x4305,83.55622133647324
0x639e,73.65503699610552
0x2ba8,77.65554129661716
0x8c0c,64.84532806306642
0x284b,84.25484181643588
0xa832,81.63659806552562
0xbeea,65.2850088619977
0xaaa7,57.98922822788919
0xc702,63.366378750086
0x7817,81.09053481647425
0x56d5,69.33315381506878
0x3d65,63.71299467759007
0x5ed6,77.32156532026202
0xc0d4,84.1531495755763
0x4abb,55.32660393264918
0x4f8e,61.32927060499827
0xa4c8,77.57920467436571
0x9085,79.96534846473352
0xb1aa,65.24164319216422
0x3a63,71.22601308183779
0x15ac,53.01598326255747
0x1066,80.86042564360463
0x5ff1,71.63605654656203
0x35f3,75.06391417821453
0x9dba,81.05953961219885
0x78df,70.24401915761939
0x3261,83.1428292140078
0x5fbc,80.88341873586893
0xf3a,74.00713044978411
0x5578,75.59298451380877
0x8867,76.22621767524925
0xfad,80.48342124436832
0x8f94,65.05585609317339
0x55b9,67.10433132656249
0xc320,72.86997991981785
0x6cbc,84.74565929733879
0x8226,83.03570322960286
0xc937,83.96159055877754
0x67cb,83.43855233567157
0xbbb4,63.78445661221093
0xa086,81.71628909413806
0x6e13,76.48024945595014
0xc633,82.26043988680729
0x7d66,65.06868684691395
0x62d9,82.41518927791235
0x6c54,80.49399654615468
0x2194,77.69462397183295
0x5af6,82.06305332062337
0x1278,75.16608046776813
0xeaf,59.773614210114204
0xaf6b,64.12232561440028
0x6f27,78.07237190535409
0x8d0d,79.20890548455641
0x6c70,74.88094768742097
0x7213,81.53765867150186
0x89a6,76.26666269013438
0x6543,85.88189499955983
0x5d77,81.06271436149926
0x2ffd,76.04433956893318
0x402c,80.25961941819764
0x93df,71.98749983677678
0x5162,82.64183342774064
0x26e2,74.58773318475323
0x6c33,73.50269617724544
0x21b6,77.10031461669774
0xc799,80.53050510428493
0x7011,77.48586456872786
0x8018,77.47281293333512
0xc73f,82.14611861643655
0x7af1,82.31288496454117
